SCALERANK,NAME,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,LATITUDE,LONGITUDE,POP_MAX,POP_MIN
10,Gracias,Honduras,HND,Honduras,HND,Lempira,HN,14.58330306,-88.58330051,7909,7909
7,Hancock,United States,USA,United States of America,USA,Michigan,US,47.12729006,-88.5808053,16355,4290
7,Orange Walk,Belize,BLZ,Belize,BLZ,Orange Walk,BZ,18.09043194,-88.5599797,20835,15298
7,Oshkosh,United States,USA,United States of America,USA,Wisconsin,US,44.02510215,-88.54251306,72698,63017
7,Fond du Lac,United States,USA,United States of America,USA,Wisconsin,US,43.77343793,-88.44691166,54299,41860
10,Usulután,El Salvador,SLV,El Salvador,SLV,Usulután,SV,13.3460011,-88.43200162,51910,51910
8,Appleton,United States,USA,United States of America,USA,Wisconsin,US,44.26867902,-88.40050623,203665,70112
9,Corozal,Belize,BLZ,Belize,BLZ,Corozal,BZ,18.39799811,-88.3880005,8724,8724
6,Chetumal,Mexico,MEX,Mexico,MEX,Quintana Roo,MX,18.50001935,-88.29999557,154517,134412
7,Aurora,United States,USA,United States of America,USA,Illinois,US,41.76539512,-88.29999557,350000,197899
8,Elgin,United States,USA,United States of America,USA,Illinois,US,42.03946108,-88.28991866,389514,98586
7,Nipigon,Canada,CAN,Canada,CAN,Ontario,CA,49.01704551,-88.24997278,1204,1204
10,Santa Bárbara,Honduras,HND,Honduras,HND,Santa Bárbara,HN,14.91900304,-88.23599963,15119,15119
